imgurl,name,tags
https://recipe52.com/wp-content/uploads/2023/05/Chicken-samosa-16-300x300.jpg,Chicken Samosa,"['chicken', 'samosa', 'indian', 'pakistani', 'appetizer']"
https://recipe52.com/wp-content/uploads/2022/09/Walnut-brownie-2-360x360.jpg,Walnut Brownie Recipe,"['chocolatefudgebrownie', 'walnutbrownies', 'american', 'dessert']"
https://recipe52.com/wp-content/uploads/2022/10/cinnamon-tea-8-300x300.jpg,Cinnamon Spice Tea Recipe,"['cinammon', 'tea', 'world', 'drinks']"
https://recipe52.com/wp-content/uploads/2023/12/Coconut-balls-13-300x300.jpg,Coconut Balls Recipe (with Condensed Milk),"['coconutball', 'world', 'dessert']"
https://recipe52.com/wp-content/uploads/2022/05/Keema-naan-3-360x360.jpg,Date Balls Recipe,"['coconutball', 'dateball', 'world', 'energysnack']"
https://recipe52.com/wp-content/uploads/2019/05/Dates-roll-recipe-1-of-1-200x200.jpg,Date Roll,"['dateroll', 'indian', 'pakistani', 'world', 'energysnack', 'sweet']"
https://recipe52.com/wp-content/uploads/2018/06/Dried-dates-dessert-wm-500x500.jpg,Bohra Kharak Recipe (Kharik),"['kharik', 'bohras', 'dessert']"
https://recipe52.com/wp-content/uploads/2019/01/dried-Date-Pudding-1-of-1-2-500x500.jpg,Dried Dates Pudding Recipe,"['drieddatespudding', 'bohracuisine', 'indian', 'pakistani', 'world', 'dessert']"
https://recipe52.com/wp-content/uploads/2021/08/dulce-deleche-mousse-17-360x360.jpg,Dulce De Leche Mousse,"['dulcedelechemousse', 'world', 'dessert']"
https://recipe52.com/wp-content/uploads/2022/03/dum-ka-keema-13_1-300x300.jpg,Dum Ka Keema,"['dumkakeema', 'hyderabadi', 'pakistani', 'dinner']"
https://recipe52.com/wp-content/uploads/2018/04/Eggplant-fries-2-500x500.jpg,Eggplant Fries Recipe,"['friedeggplantfries', 'world', 'appetizer', 'snack']"
https://recipe52.com/wp-content/uploads/2018/01/gajar-halwa-1-500x500.jpg,Gajar Ka Halwa,"['gajarkahalwa', 'gajarkahalwawithkhoya', 'indian', 'pakistani', 'dessert']"
https://recipe52.com/wp-content/uploads/2023/01/Gol-papdi-6-300x300.jpg,Gol Papdi,"['golpapdi', 'bohracuisine', 'gujrati', 'energysnack']"
https://recipe52.com/wp-content/uploads/2021/09/Grapes-Jam-8-360x360.jpg,Grape Jam,"['grapejam', 'nopectinjam', 'world', 'buttersandjams']"
https://recipe52.com/wp-content/uploads/2016/10/Green-Chutney-4-360x360.jpg,Green Chutney,"['greenchutney', 'indian', 'pakistani', 'condiment', 'dip', 'sauce']"
https://recipe52.com/wp-content/uploads/2022/04/paya-recipe-14-300x300.jpg,Mutton Paya,"['greenmasalapaya', 'bohras', 'maincourse']"
https://recipe52.com/wp-content/uploads/2021/12/guava-jam-square-300x300.jpg,Guava Jam,"['guavajam', 'mangopreserve', 'marmalade', 'indian', 'jamaican', 'mexican', 'world', 'buttersandjams']"
https://recipe52.com/wp-content/uploads/2023/09/Haleem-1-3-360x360.jpg,Haleem Recipe,"['beefhaleem', 'haleem', 'hyderabadi', 'indian', 'pakistani', 'dinner']"
https://recipe52.com/wp-content/uploads/2019/11/Haryali-Chicken-tikka-Recipe-2-1-360x360.jpg,Hariyali Chicken Tikka,"['hariyalichicken', 'hariyalichickentikka', 'indian', 'appetizer', 'dinner']"
https://recipe52.com/wp-content/uploads/2023/04/Hoisin-sauce-4-300x300.jpg,Easy Hoisin Sauce Recipe,"['hoisinsauce', 'world', 'condiment']"
https://recipe52.com/wp-content/uploads/2024/01/Tomato-Ketchup-7-300x300.jpg,Homemade Tomato Ketchup From Fresh Tomatoes,"['homemadeketchup', 'world', 'condiment']"
https://recipe52.com/wp-content/uploads/2022/07/oreo-ice-cream-3-300x300.jpg,Oreo Cookie Ice Cream,"['cookieandcreamicecream', 'oreo', 'oreoicecream', 'world', 'dessert']"
https://recipe52.com/wp-content/uploads/2020/01/salted-caramel-brownie-5-1-300x300.jpg,Salted Caramel Sauce Recipe,"['saltedcaramel', 'world', 'sauce']"
https://recipe52.com/wp-content/uploads/2021/08/dulce-deleche-mousse-6-360x360.jpg,Dulce De Leche (Boiled Condensed Milk),"['dulcedeleche', 'world', 'condiment']"
https://recipe52.com/wp-content/uploads/2016/11/hummus-1.jpg,Hummus Recipe without Tahini,"['hummus', 'hummuswithouttahini', 'arabic', 'middleeastern', 'condiment', 'snack']"
https://recipe52.com/wp-content/uploads/2021/08/tamarind-drink-10-360x360.jpg,Imli Aloo Bukharay Ka Sharbat,"['imlialoobukharaykasharbat', 'refreshingsummerdrinks', 'indian', 'pakistani', 'drinks']"
https://recipe52.com/wp-content/uploads/2019/03/butter-chicken-blog-1-of-1-500x500.jpg,Indian Butter Chicken,"['indianbutterchicken', 'indian', 'dinner', 'maincourse']"
https://recipe52.com/wp-content/uploads/2021/09/Chicken-burger-petty-12-360x360.jpg,Chicken Burger Patty,"['juicychickenburgerpatty', 'world', 'dinner']"
https://recipe52.com/wp-content/uploads/2018/08/kaleji-recipe-1-300x300.jpg,Kaleji Fry Masala Recipe | Liver Fry,"['kalejifry', 'indian', 'pakistani', 'southasian', 'maincourse']"
https://recipe52.com/wp-content/uploads/2023/11/Karak-Chai-4-300x300.jpg,Karak Chai,"['karakchai', 'arabic', 'indian', 'pakistani', 'breakfast', 'drinks', 'tea']"
https://recipe52.com/wp-content/uploads/2016/10/kashmiri-chili-chicken-5-300x300.jpg,Kashmiri Chicken,"['kashmirichicken', 'bohras', 'indian', 'maincourse']"
https://recipe52.com/wp-content/uploads/2021/06/keema-naan-19-300x300.jpg,Keema Naan Recipe,"['keemanaan', 'pakistani', 'dinner']"
https://recipe52.com/wp-content/uploads/2020/09/somaso-recipe-7-360x360.jpg,Keema Samosa Recipe,"['beefsamosa', 'keemasamosa', 'lambsamosa', 'indian', 'pakistani', 'appetizer', 'sidedish', 'snack', 'starter', '']"
https://recipe52.com/wp-content/uploads/2022/02/kiwi-jam-12-360x360.jpg,Kiwi Jam,"['kiwijam', 'low-sugar', 'world', 'buttersandjams']"
https://recipe52.com/wp-content/uploads/2020/07/Lamb-karahi-3-360x360.jpg,Karahi Gosht,"['karahigosht', 'lambkarahi', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2019/09/mutton-leg-roast-5-500x500.jpg,Mutton Leg Roast (Raan),"['muttonlegroast', 'indian', 'pakistani', 'world', 'dinner', 'maincourse']"
https://recipe52.com/wp-content/uploads/2019/01/lemon-cheese-cake-blog-1-of-1-500x500.jpg,Lemon Mousse Cake,"['lemonmoussecake', 'american', 'world', 'dessert']"
https://recipe52.com/wp-content/uploads/2022/08/Lemon-ice-cream-11-360x360.jpg,Homemade Lemon Ice Cream,"['lemonicecream', 'world', 'dessert']"
https://recipe52.com/wp-content/uploads/2021/07/mango-jam-10_1-360x360.jpg,Mango Jam,"['mangojam', 'mangopreserve', 'nopectinjam', 'world', 'buttersandjams']"
https://recipe52.com/wp-content/uploads/2022/06/Mango-kulfi-2-360x360.jpg,Mango Kulfi Recipe,"['mangokulfi', 'indian', 'pakistani', 'dessert']"
https://recipe52.com/wp-content/uploads/2018/02/chocolate-cold-cake-360x360.jpg,Chocolate Cold Cake Recipe,"['coldcake', 'mariecoldcake', 'quickdessert', 'world', 'dessert']"
https://recipe52.com/wp-content/uploads/2018/03/Mix-Sabzi-Pakistani-3-500x500.jpg,Mix Sabzi,"['mixsabzi', 'mixvegetablecurry', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2016/11/carrot-cake-recipe-10-360x360.jpg,Carrot Bundt Cake,"['carrotbundtcake', 'british', 'dessert']"
https://recipe52.com/wp-content/uploads/2023/03/kofta-curry-4-300x300.jpg,Kofta Curry,"['koftacurry', 'indian', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2022/06/Yakhni-pulao-300x300.jpg,Yakhni Pulao,"['muttonyakhnipulao', 'mutton/lambyakhnipulao', 'yakhnipulao', 'bohracuisine', 'indian', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2021/12/nihari-spice-mix-300x300.jpg,Nihari Masala,"['niharimasala', 'hyderabadi', 'indian', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2020/11/nihari-recipe-11-360x360.jpg,Nihari Recipe,"['nihari', 'hyderabadi', 'indian', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2017/03/oreo-condensed-milk-truffles-2-1-of-11.gif,Oreo Balls with Condensed Milk,"['oreoballswithcondensedmilk', 'oreotruffleswithcondensedmilk', 'world', 'dessert']"
https://recipe52.com/wp-content/uploads/2018/07/Pakistani-Biryani-blog-1-of-1-edited-1-360x360.jpg,Pakistani Chicken Biryani,"['pakistanichickenbiryani', 'indian', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2018/04/Chicken-Karahi-Recipe-Pakistani-1-of-1-360x360.jpg,Chicken Karahi Recipe,"['chickenkadai', 'chickenkarahi', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2021/03/Chicken-Tikka-Leg-Recipe-5-1-1-360x360.jpg,Chicken Tikka Recipe Pakistani,"['chickentikkapakistani', 'tandoorichicken', 'indian', 'pakistani', 'dinner']"
https://recipe52.com/wp-content/uploads/2016/12/keema-cutlets-3-360x360.jpg,Keema cutlets (Beef or Mutton),"['keemacutlets', 'bohras', 'pakistani', 'snack']"
https://recipe52.com/wp-content/uploads/2021/11/Shami-kabab-square-1-300x300.jpg,Shami Kabab Recipe,"['shamikabab', 'shamikebeb', 'indian', 'pakistani', 'snack']"
https://recipe52.com/wp-content/uploads/2019/06/Paneer-reshmi-handi-1-of-1-2-500x500.jpg,Paneer Reshmi Chicken Handi,"['paneerreshmihandi', 'pakistani', 'dinner']"
https://recipe52.com/wp-content/uploads/2022/05/Papaya-jam-300x300.jpg,Papaya Jam,"['papayajam', 'nopectinpapayajam', 'world', 'breakfast']"
https://recipe52.com/wp-content/uploads/2021/05/peach-ice-cream-cover-1-300x300.jpg,Peach Ice Cream Recipe (No-Eggs),"['homemade', 'nochurn', 'peachicecream', 'withcondensedmilk', 'world', 'dessert']"
https://recipe52.com/wp-content/uploads/2021/05/peach-jam-5-360x360.jpg,Peach Jam Recipe without Pectin,"['low-sugar', 'noepectinjam', 'peachjam', 'world', 'buttersandjams']"
https://recipe52.com/wp-content/uploads/2020/09/peach-juice-drink-4-360x360.jpg,Peach Juice,"['peachdrink', 'peachjuice', 'world', 'drinks']"
https://recipe52.com/wp-content/uploads/2021/09/Pear-jam-2-300x300.jpg,Pear Jam,"['low-sugar', 'nopectinjam', 'pearjam', 'smallbatch', 'spicedjam', 'world', 'buttersandjams']"
https://recipe52.com/wp-content/uploads/2021/06/plum-recipes-4-360x360.jpg,Plum Juice Recipe,"['plumdrink', 'plumlemonade', 'world', 'drinks']"
https://recipe52.com/wp-content/uploads/2021/06/Plum-Icecream-8-360x360.jpg,Plum Ice Cream,"['nochurn', 'plumicecream', 'plums', 'world', 'dessert']"
https://recipe52.com/wp-content/uploads/2018/07/Plum-jam-blog-1-of-1-300x300.jpg,Plum Jam Recipe Without Pectin,"['low-sugar', 'plumjamwithoutpectin', 'world', 'breakfast']"
https://recipe52.com/wp-content/uploads/2019/10/potato-cheese-ball-recipe-500x500.jpg,Potato Cheese Balls Recipe,"['potatocheeseballs', 'world', 'sideline', 'starter', '']"
https://recipe52.com/wp-content/uploads/2022/05/Mango-delight-14-360x360.jpg,Mango Delight Recipe,"['mangodelight', 'mangodessert', 'indian', 'pakistani', 'world', 'dessert']"
https://recipe52.com/wp-content/uploads/2024/08/Rocky-Road-Ice-Cream-8-300x300.jpg,Rocky Road Ice Cream Recipe,"['rockyroadicecream', 'american', 'dessert']"
https://recipe52.com/wp-content/uploads/2019/02/Sarsoon-ka-saag-1-of-1-500x500.jpg,Sarson Ka Saag Pakistani,"['mustardgreensindianstyle', 'sarsoonkasaag', 'indian', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2023/03/Chicken-crepes--300x300.jpg,Chicken Crepes,"['savorychickencrepe', 'french', 'world', 'dinner']"
https://recipe52.com/wp-content/uploads/2017/04/seekh-kabab-2-1-of-1-e1571647743931.gif,Chicken Seekh Kabab Recipe,"['chickenseekhkabab', 'seekhkababchicken', 'indian', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2020/08/beef-seekh-kabab-17-360x360.jpg,Beef Seekh Kebab (Pakistani),"['seekhkebab', 'indian', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2021/04/sheer-khurma-1-3-300x300.jpg,Sheer Khurma,"['sheerkhurma', 'sheerkhurmapakistani', 'indian', 'pakistani', 'dessert']"
